Order_Date,Time,Aging,Customer_Id,Gender,Device_Type,Customer_Login_type,Product_Category,Product,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_method
1/2/2018,10:56:33,8,37077,Female,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,46,4.6,Medium,credit_card
7/24/2018,20:41:37,2,59173,Female,Web,Member,Auto & Accessories,Car Speakers,211,1,0.3,112,11.2,Medium,credit_card
11/8/2018,8:38:49,8,41066,Female,Web,Member,Auto & Accessories,Car Body Covers,117,5,0.1,31.2,3.1,Critical,credit_card
4/18/2018,19:28:06,7,50741,Female,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.3,26.2,2.6,High,credit_card
8/13/2018,21:18:39,9,53639,Female,Web,Member,Auto & Accessories,Tyre,250,1,0.3,160,16,Critical,credit_card
7/9/2018,21:57:05,8,39783,Female,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.3,24,2.4,Critical,credit_card
5/16/2018,13:10:30,1,26767,Female,Web,Member,Auto & Accessories,Car Mat,54,1,0.3,54,5.4,High,credit_card
6/23/2018,18:29:09,7,20719,Female,Web,Member,Auto & Accessories,Car Seat Covers,114,5,0.2,22.6,2.3,Critical,credit_card
7/29/2018,11:55:02,7,46947,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.3,116.4,11.6,Critical,credit_card
5/16/2018,19:41:10,10,31839,Female,Web,Member,Auto & Accessories,Car Media Players,140,1,0.2,54.4,5.4,Critical,money_order
7/13/2018,19:58:11,10,22249,Female,Web,Member,Auto & Accessories,Car Speakers,211,4,0.1,122.6,12.3,Critical,credit_card
10/7/2018,10:06:19,1,15109,Female,Web,Member,Auto & Accessories,Car Body Covers,117,4,0.3,18.3,1.8,High,credit_card
7/25/2018,17:44:10,7,18622,Female,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.2,35.6,3.6,Critical,credit_card
12/1/2018,14:14:28,5,56296,Female,Web,Member,Auto & Accessories,Tyre,250,1,0.3,140,14,High,credit_card
10/7/2018,19:03:12,9,34138,Female,Web,Member,Auto & Accessories,Bike Tyres,72,4,0.1,18,1.8,Medium,credit_card
6/2/2018,19:00:43,10,51112,Female,Web,Member,Auto & Accessories,Car Mat,54,1,0.1,27,2.7,Critical,credit_card
3/26/2018,23:41:31,4,57057,Female,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.3,22.6,2.3,High,credit_card
4/21/2018,0:03:41,7,50942,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.3,93.3,9.3,High,credit_card
1/26/2018,15:54:26,7,42384,Female,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,46,4.6,Critical,credit_card
2/18/2018,14:31:30,6,26127,Female,Web,Member,Auto & Accessories,Car Speakers,211,1,0.2,122.6,12.3,Critical,credit_card
12/15/2018,8:52:40,4,14449,Female,Web,Member,Auto & Accessories,Car Body Covers,117,5,0.1,31.2,3.1,Critical,credit_card
8/3/2018,20:37:35,7,16823,Female,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.3,30.9,3.1,High,credit_card
6/8/2018,7:55:29,6,15976,Female,Web,Member,Auto & Accessories,Tyre,250,4,0.2,150,15,High,credit_card
11/9/2018,11:44:40,2,51542,Female,Web,Member,Auto & Accessories,Bike Tyres,72,4,0.2,18,1.8,Critical,credit_card
8/20/2018,23:46:53,8,42676,Female,Web,Member,Auto & Accessories,Car Mat,54,1,0.3,54,5.4,High,money_order
10/4/2018,0:00:13,4,56593,Female,Web,Member,Auto & Accessories,Car Seat Covers,114,4,0.2,24.9,2.5,Critical,e_wallet
12/12/2018,1:50:26,8,37689,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,144.1,14.4,Critical,credit_card
5/2/2018,11:45:38,,26058,Female,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,55.8,5.6,High,credit_card
8/25/2018,13:50:30,7,38941,Female,Web,Member,Auto & Accessories,Car Speakers,211,1,0.3,112,11.2,Medium,credit_card
11/10/2018,11:58:33,4,19919,Female,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.2,34.7,3.5,High,money_order
9/16/2018,21:15:39,9,56625,Female,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.3,27.4,2.7,Critical,credit_card
3/12/2018,13:56:04,5,33501,Female,Web,Member,Auto & Accessories,Tyre,250,1,0.2,165,16.5,Medium,credit_card
8/3/2018,12:38:58,10,40865,Female,Web,Member,Auto & Accessories,Bike Tyres,72,4,0.3,18,1.8,High,credit_card
7/29/2018,23:34:51,5,38256,Female,Web,Member,Auto & Accessories,Car Mat,54,4,0.3,13.5,1.4,Critical,credit_card
